effort_category,occupation,coins_earned,peer_category,bank_category,completed_games,started_games,session_time,games_last_90days,games_last_120days,games_last_150days,games_last_180days,games_last_210days,games_last_240days,games_last_270days,games_last_300days,games_last_330days,games_last_366days,angry_birds,cars,cricket,football,snooker,hockey,uninstalled_next_60d,age_rounded_closest_ten,fun_quotient
MEDIUM,0,0,tier iii,Scheduled PSU,59,100,35,9,10,6,10,8,0,0,0,0,0,0,0,1,58,0,0,0,20,1
MEDIUM,Private Sector Service,-2,tier iii,Scheduled PSU,3,9,47,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier i,Scheduled Private Bank,16,22,24,1,7,0,3,2,0,0,0,0,0,0,0,1,15,0,0,1,30,2
MEDIUM,Student,-56,tier iii,Scheduled PSU,33,81,534,1,3,9,17,3,0,0,0,0,0,0,0,11,22,0,0,1,20,2
LOW,Business,0,tier i,Scheduled Private Bank,81,403,3,11,6,6,8,10,0,0,0,0,0,0,0,1,80,0,0,0,30,3
MEDIUM,Agriculturist,6,tier iii,Scheduled PSU,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier i,Scheduled PSU,30,56,11,8,1,1,7,10,0,0,0,0,0,0,0,1,29,0,0,0,20,2
MEDIUM,Student,-1,tier ii,Scheduled Private Bank,12,15,1,0,1,0,4,7,0,0,0,0,0,0,0,1,11,0,0,0,20,2
MEDIUM,Professional,-2037,tier iii,Scheduled Private Bank,30,157,3040,1,0,0,13,16,0,0,0,0,0,0,24,4,2,0,0,0,20,3
MEDIUM,Private Sector Service,-5,tier iii,Scheduled Private Bank,10,28,118,1,1,0,3,5,0,0,0,0,0,0,0,5,5,0,0,1,20,3
LOW,Business,-1,tier iii,Scheduled Private Bank,75,141,30,19,13,6,6,3,0,0,0,0,0,0,0,1,74,0,0,0,20,1
MEDIUM,Government Service,5,tier iii,Scheduled PSU,19,24,25,3,7,0,2,0,0,0,0,0,0,0,0,1,18,0,0,0,20,3
MEDIUM,Private Sector Service,-10,tier ii,Scheduled Private Bank,167,767,13326,56,46,4,16,16,0,0,0,0,0,0,98,31,38,0,0,1,30,2
MEDIUM,Private Sector Service,-39,tier iii,Scheduled PSU,58,194,1412,0,21,18,14,5,0,0,0,0,0,0,0,12,46,0,0,1,20,2
MEDIUM,Public Sector,-6,tier ii,Scheduled PSU,183,867,16964,24,34,34,30,10,0,0,0,0,0,0,142,38,3,0,0,0,30,2
MEDIUM,Student,32,tier ii,Scheduled Private Bank,13,27,356,0,0,2,3,8,0,0,0,0,0,0,0,7,6,0,0,1,20,2
MEDIUM,Private Sector Service,-124,tier iii,Scheduled Private Bank,38,238,4720,0,0,8,18,8,0,0,0,0,0,0,34,2,2,0,0,0,20,2
MEDIUM,Private Sector Service,24,tier iii,Scheduled Private Bank,44,242,4441,0,0,0,0,8,0,0,0,0,0,0,30,7,7,0,0,0,20,2
MEDIUM,Private Sector Service,15,tier iii,Scheduled PSU,77,544,9987,0,0,14,18,14,0,0,0,0,0,0,17,52,8,0,0,0,20,2
MEDIUM,Student,-21,tier iii,scheduled payments bank,18,83,1105,1,0,0,2,6,0,0,0,0,0,0,6,7,5,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier i,Scheduled PSU,14,31,1,1,0,0,5,8,0,0,0,0,0,0,0,5,9,0,0,1,20,2
HIGH,Agriculturist,-772,tier iii,Scheduled Private Bank,4,39,780,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,20,2
MEDIUM,Private Sector Service,-35,tier iii,Scheduled PSU,50,383,7199,0,10,22,11,5,0,0,0,0,0,0,7,32,11,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier ii,Small Finance bank,3,8,2,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,20,2
MEDIUM,Private Sector Service,-1,tier ii,Scheduled PSU,13,52,10,0,0,0,2,11,0,0,0,0,0,0,0,6,7,0,0,1,20,2
MEDIUM,0,0,tier iii,Scheduled Private Bank,27,44,3,5,3,1,2,5,0,0,0,0,0,0,0,1,26,0,0,0,20,2
MEDIUM,Private Sector Service,-249,tier iii,Scheduled Private Bank,32,148,2880,0,29,3,0,0,0,0,0,0,0,0,18,6,4,0,0,1,20,2
MEDIUM,Private Sector Service,-4,tier ii,Scheduled PSU,40,121,1901,3,4,12,6,14,0,0,0,0,0,0,19,2,19,0,0,1,20,2
MEDIUM,Private Sector Service,-219,tier ii,Scheduled Private Bank,105,617,11797,18,22,16,16,1,0,0,0,0,0,0,67,17,21,0,0,0,20,2
MEDIUM,Private Sector Service,1,tier ii,Scheduled PSU,10,47,168,1,1,0,4,4,0,0,0,0,0,0,0,10,0,0,0,1,20,2
MEDIUM,Business,24,tier iii,Scheduled Private Bank,66,101,247,11,5,7,8,6,0,0,0,0,0,0,0,8,58,0,0,0,20,2
MEDIUM,Housewife,-121,tier ii,Scheduled Private Bank,76,287,5735,1,6,27,21,21,0,0,0,0,0,2,50,24,0,0,0,0,20,2
MEDIUM,Private Sector Service,-8,tier iii,Scheduled PSU,94,181,1576,9,25,11,20,20,0,0,0,0,0,0,0,35,59,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled Private Bank,55,117,760,16,10,8,8,3,0,0,0,0,0,0,8,1,46,0,0,0,20,2
MEDIUM,Private Sector Service,31,tier ii,Scheduled Private Bank,18,31,403,5,5,0,0,1,0,0,0,0,0,0,6,2,10,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,4,6,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,1,20,2
MEDIUM,Student,0,tier iii,Scheduled PSU,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Private Sector Service,-1,tier ii,Scheduled PSU,17,44,142,0,0,0,0,17,0,0,0,0,0,0,2,4,11,0,0,1,30,2
MEDIUM,Private Sector Service,-19,tier ii,Scheduled PSU,45,100,803,1,8,9,7,10,0,0,0,0,0,0,13,2,30,0,0,0,20,2
LOW,Business,13,tier ii,Scheduled Private Bank,37,67,151,12,5,2,2,4,0,0,0,0,0,0,0,4,33,0,0,0,30,2
MEDIUM,Private Sector Service,2106,tier i,Scheduled PSU,59,238,4760,0,0,11,22,26,0,0,0,0,0,0,22,28,0,0,0,1,20,2
MEDIUM,Private Sector Service,-810,tier ii,Scheduled PSU,68,455,9041,10,23,6,18,9,0,0,0,0,0,0,65,2,1,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled Private Bank,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Government Service,7,tier iii,Scheduled PSU,72,895,17194,5,13,13,18,14,0,0,0,0,0,0,59,7,6,0,0,0,20,2
MEDIUM,Student,485,tier iii,Scheduled PSU,25,284,5641,0,0,0,10,15,0,0,0,0,0,0,0,25,0,0,0,1,20,2
MEDIUM,Government Service,-3,tier iii,Scheduled PSU,5,12,4,3,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,1,40,3
MEDIUM,Government Service,3,tier ii,Scheduled PSU,103,230,3439,12,19,13,7,12,0,0,0,0,0,0,21,50,32,0,0,0,20,2
LOW,Business,46,tier iii,Scheduled Private Bank,92,386,7681,12,19,24,18,12,0,0,0,0,0,0,89,3,0,0,0,1,30,3
MEDIUM,Housewife,3,tier i,Scheduled Private Bank,9,14,22,0,1,0,6,2,0,0,0,0,0,0,0,1,8,0,0,1,20,2
MEDIUM,Private Sector Service,-56,tier iii,Scheduled PSU,6,33,641,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,1,20,2
MEDIUM,Private Sector Service,-17,tier iii,Scheduled PSU,3,10,200,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,20,2
MEDIUM,Private Sector Service,-12,tier ii,Scheduled PSU,35,63,476,12,7,1,0,0,0,0,0,0,0,0,9,1,25,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled Private Bank,13,17,0,0,0,1,3,8,0,0,0,0,0,0,0,1,12,0,0,1,20,2
MEDIUM,Private Sector Service,-10,tier iii,Small Finance bank,4,23,380,2,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,20,2
MEDIUM,Public Sector,15,tier i,Scheduled PSU,24,71,200,1,6,3,3,2,0,0,0,0,0,0,0,2,22,0,0,0,40,3
MEDIUM,Private Sector Service,-440,tier iii,Scheduled PSU,39,226,3838,3,13,16,3,0,0,0,0,0,0,0,1,22,16,0,0,0,20,2
LOW,Professional,-677,tier i,Scheduled Private Bank,84,2825,56460,15,0,8,10,17,0,0,0,0,0,0,77,5,2,0,0,1,20,4
MEDIUM,Private Sector Service,-113,tier ii,Scheduled PSU,210,750,14866,42,40,40,18,12,0,0,0,0,0,9,169,13,6,0,0,1,20,2
MEDIUM,Private Sector Service,171,tier iii,Scheduled Private Bank,92,517,2786,24,8,12,12,15,0,0,0,0,0,0,0,25,67,0,0,0,30,2
MEDIUM,Private Sector Service,-8,tier iii,Scheduled Private Bank,8,52,892,0,0,0,1,7,0,0,0,0,0,0,3,1,4,0,0,1,20,2
MEDIUM,Student,-6,tier ii,Scheduled Private Bank,8,185,931,0,0,0,0,8,0,0,0,0,0,0,0,6,2,0,0,1,20,2
MEDIUM,Government Service,-171,tier iii,Scheduled PSU,6,12,40,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,1,20,2
LOW,Business,-65,tier ii,Scheduled PSU,17,43,572,0,0,2,3,10,0,0,0,0,0,0,0,12,5,0,0,0,40,2
LOW,Private Sector Service,133,tier iii,Scheduled Private Bank,127,443,6940,22,36,24,20,7,0,0,0,0,0,0,85,5,37,0,0,1,30,5
MEDIUM,Private Sector Service,7,tier ii,Scheduled PSU,37,135,2620,0,0,0,10,8,0,0,0,0,0,0,32,1,4,0,0,0,30,2
MEDIUM,Government Service,-2,tier iii,Scheduled PSU,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20,2
LOW,Business,-441,tier ii,Scheduled Private Bank,108,359,7092,24,27,16,24,7,0,0,0,0,0,1,102,2,3,0,0,1,20,2
MEDIUM,Private Sector Service,-1,tier ii,Scheduled PSU,27,46,19,5,3,6,4,8,0,0,0,0,0,0,0,1,26,0,0,0,30,2
LOW,Business,14,tier iii,Scheduled Private Bank,41,94,207,9,14,8,5,4,0,0,0,0,0,0,0,5,36,0,0,1,30,3
MEDIUM,Private Sector Service,-291,tier iii,Foreign banks,117,751,14917,24,21,13,18,0,0,0,0,0,0,0,49,66,2,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled PSU,5,9,2,0,0,0,1,4,0,0,0,0,0,0,0,1,4,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled PSU,31,127,1597,0,6,2,14,9,0,0,0,0,0,0,14,3,14,0,0,0,20,2
LOW,Private Sector Service,-4364,tier iii,Scheduled Private Bank,130,432,8501,19,22,7,22,12,0,0,0,0,0,0,120,5,5,0,0,0,20,4
MEDIUM,Housewife,1,tier iii,Scheduled PSU,68,126,30,17,13,4,4,1,0,0,0,0,0,0,0,1,67,0,0,0,30,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,7,9,0,1,0,4,0,1,0,0,0,0,0,0,0,1,6,0,0,1,20,2
HIGH,Government Service,-5,tier iii,Scheduled PSU,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,11,15,3,0,0,0,1,9,0,0,0,0,0,0,0,2,9,0,0,1,30,2
LOW,Business,-1,tier iii,Scheduled Private Bank,111,1320,188,13,18,19,18,15,0,0,0,0,0,0,1,8,102,0,0,0,30,3
MEDIUM,Business,-111,tier iii,Scheduled PSU,22,72,1224,0,0,3,7,12,0,0,0,0,0,0,2,17,3,0,0,0,20,2
MEDIUM,Student,-235,tier iii,Scheduled PSU,28,208,3857,1,2,0,12,13,0,0,0,0,0,0,0,15,13,0,0,1,20,2
MEDIUM,Private Sector Service,2,tier iii,Scheduled Private Bank,44,112,657,1,7,17,14,1,0,0,0,0,0,0,13,22,9,0,0,0,30,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled PSU,3,4,4,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,20,2
MEDIUM,Government Service,-36,tier ii,Scheduled PSU,38,256,4407,4,4,8,13,8,0,0,0,0,0,0,19,8,11,0,0,0,20,3
MEDIUM,Student,-14,tier iii,Scheduled PSU,39,55,59,9,9,2,0,0,0,0,0,0,0,0,0,5,34,0,0,0,20,2
LOW,Professional,-104,tier iii,Scheduled Private Bank,56,227,4178,0,6,12,28,9,0,0,0,0,0,0,15,28,13,0,0,1,20,2
LOW,Public Sector,-344,tier iii,Scheduled Private Bank,117,486,9140,8,14,18,18,8,0,0,0,0,0,0,100,2,15,0,0,0,20,4
MEDIUM,Private Sector Service,459,tier iii,Scheduled Private Bank,17,118,2360,0,0,0,0,17,0,0,0,0,0,0,9,8,0,0,0,1,20,3
MEDIUM,Government Service,0,tier iii,scheduled payments bank,41,77,1,7,0,1,12,8,0,0,0,0,0,0,0,1,40,0,0,0,30,2
MEDIUM,Private Sector Service,-381,tier i,Scheduled PSU,9,28,341,0,0,0,2,7,0,0,0,0,0,0,0,5,4,0,0,1,20,3
LOW,Business,0,tier ii,Scheduled PSU,6,8,1,0,0,1,2,3,0,0,0,0,0,0,0,1,5,0,0,1,20,2
MEDIUM,0,-513,tier iii,Scheduled PSU,135,821,15191,24,22,20,12,17,0,0,0,0,0,0,3,107,25,0,0,0,30,2
MEDIUM,Student,0,tier iii,Scheduled PSU,27,53,145,1,9,3,5,7,0,0,0,0,0,0,5,2,20,0,0,0,20,2
MEDIUM,0,-261,tier ii,Scheduled PSU,188,1441,28768,42,37,21,29,9,0,0,0,0,0,0,151,28,0,0,0,0,20,2
MEDIUM,Government Service,3,tier ii,Scheduled PSU,13,35,21,0,0,2,0,11,0,0,0,0,0,0,0,5,8,0,0,1,30,3
MEDIUM,Government Service,-18,tier iii,Scheduled PSU,17,57,591,0,0,0,6,11,0,0,0,0,0,0,0,17,0,0,0,1,20,2
MEDIUM,Private Sector Service,1,tier iii,Scheduled Private Bank,39,72,83,2,7,9,13,7,0,0,0,0,0,0,0,4,35,0,0,0,20,2
MEDIUM,Private Sector Service,249,tier i,Scheduled PSU,56,166,3260,7,10,5,13,9,0,0,0,0,0,0,50,3,3,0,0,0,20,2
MEDIUM,Student,22,tier iii,Scheduled PSU,9,26,480,0,0,0,0,4,0,0,0,0,0,0,5,2,2,0,0,1,20,2
MEDIUM,0,0,tier iii,Scheduled Private Bank,4,7,0,0,2,0,1,1,0,0,0,0,0,0,0,2,2,0,0,1,30,2
HIGH,0,-3676,tier iii,Scheduled PSU,2,16,320,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,20,2
MEDIUM,0,17,tier iii,Scheduled PSU,41,64,160,15,3,4,5,0,0,0,0,0,0,0,0,4,37,0,0,0,30,2
MEDIUM,Government Service,-1,tier iii,Scheduled PSU,12,23,86,0,0,1,5,6,0,0,0,0,0,0,2,1,9,0,0,0,20,3
MEDIUM,Student,-22,tier iii,Scheduled Private Bank,55,459,8982,13,32,4,0,6,0,0,0,0,0,0,35,12,5,3,0,1,20,3
MEDIUM,Private Sector Service,4,tier iii,Scheduled Private Bank,8,10,37,3,5,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,20,2
MEDIUM,0,0,tier iii,Scheduled PSU,12,57,8,0,0,2,5,2,0,0,0,0,0,0,0,4,8,0,0,0,20,2
LOW,Professional,-471,tier ii,Scheduled Private Bank,24,212,4200,0,0,0,6,18,0,0,0,0,0,2,2,8,2,0,0,1,20,4
LOW,Public Sector,1,tier iii,Scheduled PSU,7,12,39,0,1,0,1,5,0,0,0,0,0,0,0,1,6,0,0,0,30,4
LOW,Business,-4,tier i,Scheduled PSU,15,20,40,4,2,0,1,0,0,0,0,0,0,0,0,1,14,0,0,0,20,2
MEDIUM,Public Sector,-802,tier iii,Scheduled PSU,40,131,2566,2,10,9,12,7,0,0,0,0,0,0,0,38,2,0,0,1,30,2
MEDIUM,Private Sector Service,-2,tier iii,Scheduled Private Bank,57,149,1320,12,24,0,11,3,0,0,0,0,0,0,15,3,39,0,0,0,20,2
MEDIUM,Private Sector Service,-2,tier iii,Scheduled PSU,72,172,134,15,4,0,0,2,0,0,0,0,0,0,0,18,54,0,0,0,20,2
MEDIUM,Private Sector Service,-22,tier iii,Scheduled Private Bank,60,91,1420,15,10,13,10,4,0,0,0,0,0,0,42,1,17,0,0,0,20,2
LOW,Business,-6,tier iii,Scheduled PSU,23,46,452,5,11,0,0,0,0,0,0,0,0,0,6,3,14,0,0,0,20,2
MEDIUM,Student,91,tier iii,Scheduled PSU,150,601,9881,27,26,22,23,9,0,0,0,0,0,0,74,31,45,0,0,0,20,2
HIGH,0,15,tier iii,Scheduled Private Bank,76,390,7793,6,12,16,11,0,0,0,0,0,0,0,75,1,0,0,0,0,20,2
MEDIUM,Private Sector Service,2,tier iii,Scheduled PSU,36,58,80,15,4,4,3,4,0,0,0,0,0,0,0,2,34,0,0,0,30,2
HIGH,Government Service,-15,tier ii,Scheduled Private Bank,47,338,6443,0,23,12,10,2,0,0,0,0,0,0,38,7,2,0,0,1,20,2
MEDIUM,Private Sector Service,-1,tier iii,Scheduled PSU,17,27,17,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,20,2
MEDIUM,Private Sector Service,-84,tier iii,Scheduled Private Bank,81,238,3320,12,10,9,18,8,0,0,0,0,0,0,22,17,42,0,0,1,20,2
LOW,Professional,0,tier i,Scheduled PSU,6,8,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,0,0,1,30,2
MEDIUM,Student,-27,tier ii,Scheduled Private Bank,36,73,940,5,3,4,3,6,0,0,0,0,0,0,7,7,22,0,0,0,20,2
LOW,0,50,tier ii,Scheduled Private Bank,59,121,1161,10,10,0,0,14,0,0,0,0,0,0,0,19,40,0,0,0,20,4
MEDIUM,Government Service,-157,tier ii,Scheduled PSU,48,283,5322,12,4,0,0,0,0,0,0,0,0,0,15,17,16,0,0,1,20,2
MEDIUM,Housewife,-1,tier iii,Scheduled PSU,43,138,1660,7,14,1,1,17,0,0,0,0,0,0,25,6,12,0,0,0,30,2
MEDIUM,Private Sector Service,23,tier iii,Scheduled Private Bank,10,14,60,1,1,0,2,4,0,0,0,0,0,0,0,2,8,0,0,0,30,2
MEDIUM,Government Service,-12,tier ii,Scheduled PSU,27,72,327,9,9,1,1,5,0,0,0,0,0,0,0,14,13,0,0,0,20,2
MEDIUM,Private Sector Service,1,tier iii,Scheduled Private Bank,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,23,33,10,6,4,4,1,2,0,0,0,0,0,0,0,1,22,0,0,1,20,2
MEDIUM,Government Service,-1,tier ii,Scheduled PSU,4,7,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,1,20,2
MEDIUM,Housewife,0,tier iii,Scheduled PSU,3,4,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,30,2
MEDIUM,Government Service,-5,tier ii,Scheduled PSU,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Public Sector,6,tier iii,Scheduled Private Bank,74,329,168,15,21,14,0,0,0,0,0,0,0,0,0,4,70,0,0,0,30,3
MEDIUM,Private Sector Service,-41,tier iii,Scheduled Private Bank,57,301,3946,0,0,17,26,14,0,0,0,0,0,0,0,30,27,0,0,1,20,2
MEDIUM,Agriculturist,101,tier iii,Scheduled PSU,65,151,2420,2,15,13,20,2,0,0,0,0,0,2,11,26,26,0,0,0,30,2
MEDIUM,Government Service,-123,tier iii,Scheduled PSU,155,1119,20513,29,16,22,4,15,0,0,0,0,0,1,109,21,24,0,0,0,20,2
MEDIUM,0,-3,tier iii,Scheduled PSU,24,63,900,4,0,0,1,3,0,0,0,0,0,0,11,1,12,0,0,1,20,2
LOW,Professional,-2,tier iii,Scheduled PSU,11,17,43,0,2,6,3,0,0,0,0,0,0,0,0,2,9,0,0,0,20,3
MEDIUM,Business,-793,tier iii,Scheduled Private Bank,9,26,378,0,0,0,2,7,0,0,0,0,0,0,0,4,5,0,0,1,20,3
MEDIUM,Student,-168,tier iii,Scheduled PSU,98,250,3720,16,5,5,14,2,0,0,0,0,0,21,31,17,29,0,0,0,20,2
MEDIUM,Private Sector Service,789,tier ii,Scheduled Private Bank,101,616,12081,21,21,9,11,12,0,0,0,0,0,0,89,4,6,0,0,0,30,2
MEDIUM,Student,0,tier ii,Scheduled PSU,33,53,177,13,1,0,0,0,0,0,0,0,0,0,3,2,28,0,0,0,20,2
LOW,Business,0,tier iii,Scheduled PSU,2,6,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,20,2
MEDIUM,Government Service,36,tier iii,Scheduled PSU,11,45,889,0,0,0,7,4,0,0,0,0,0,0,0,11,0,0,0,1,20,2
MEDIUM,Public Sector,-108,tier iii,Scheduled PSU,54,785,15630,14,25,0,0,0,0,0,0,0,0,0,52,2,0,0,0,0,20,2
MEDIUM,Private Sector Service,40,tier ii,Scheduled Private Bank,14,23,52,0,0,2,4,8,0,0,0,0,0,0,0,2,12,0,0,1,20,2
MEDIUM,Public Sector,-67,tier ii,Scheduled PSU,18,43,329,0,1,3,14,0,0,0,0,0,0,0,0,7,11,0,0,0,20,2
MEDIUM,0,1,tier ii,Scheduled Private Bank,35,63,24,5,2,4,7,7,0,0,0,0,0,0,0,3,32,0,0,0,30,2
MEDIUM,Government Service,3,tier iii,Scheduled Private Bank,42,235,4183,1,0,1,7,11,0,0,0,0,0,0,29,8,5,0,0,0,20,2
MEDIUM,Private Sector Service,-1,tier ii,Scheduled PSU,39,67,41,8,4,2,9,12,0,0,0,0,0,0,0,6,33,0,0,0,20,3
LOW,Business,-10,tier iii,Foreign banks,7,11,13,0,0,0,2,5,0,0,0,0,0,0,0,1,6,0,0,1,20,2
MEDIUM,Private Sector Service,-1,tier iii,Scheduled PSU,64,378,7373,6,19,20,14,5,0,0,0,0,0,0,60,2,2,0,0,1,20,2
MEDIUM,Private Sector Service,29,tier i,Scheduled Private Bank,8,15,135,0,5,0,2,1,0,0,0,0,0,0,2,1,5,0,0,1,20,2
LOW,Business,-48,tier iii,Scheduled Private Bank,19,29,200,3,2,0,0,4,0,0,0,0,0,0,0,4,15,0,0,1,20,2
MEDIUM,Private Sector Service,-38,tier ii,Scheduled PSU,9,19,132,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,20,2
MEDIUM,Private Sector Service,24,tier ii,Scheduled PSU,28,125,1145,4,0,2,11,9,0,0,0,0,0,0,0,13,15,0,0,0,30,2
HIGH,0,0,tier ii,Scheduled PSU,21,296,5223,0,5,0,2,14,0,0,0,0,0,0,7,9,4,0,0,0,20,2
MEDIUM,Government Service,-25,tier iii,Scheduled PSU,37,353,7060,0,16,10,3,8,0,0,0,0,0,1,33,3,0,0,0,1,20,2
MEDIUM,Housewife,-58,tier ii,Scheduled PSU,145,632,10226,23,30,18,10,22,0,0,0,0,0,0,0,106,39,0,0,0,20,2
MEDIUM,Private Sector Service,-3,tier iii,Scheduled PSU,16,30,15,0,0,1,15,0,0,0,0,0,0,0,0,6,10,0,0,1,20,2
HIGH,Government Service,-4920,tier iii,Scheduled PSU,85,657,12744,24,1,0,4,16,0,0,0,0,0,1,9,58,17,0,0,0,20,3
MEDIUM,0,0,tier iii,Scheduled PSU,31,155,2521,0,0,0,0,0,0,0,0,0,0,0,23,1,7,0,0,0,20,2
HIGH,0,28,tier iii,Scheduled Private Bank,186,693,6967,30,34,31,13,19,0,0,0,0,0,0,0,74,112,0,0,0,40,2
LOW,Business,-9,tier iii,Scheduled PSU,16,38,369,1,8,2,0,0,0,0,0,0,0,0,1,2,13,0,0,0,20,2
MEDIUM,Private Sector Service,-3,tier iii,Scheduled PSU,36,58,13,7,4,0,5,3,0,0,0,0,0,0,0,1,35,0,0,0,20,2
MEDIUM,Private Sector Service,356,tier ii,Scheduled Private Bank,66,499,9884,0,32,16,11,7,0,0,0,0,0,0,55,8,2,0,0,0,20,3
MEDIUM,Private Sector Service,2,tier iii,Scheduled PSU,74,312,102,19,25,0,0,0,0,0,0,0,0,0,0,10,64,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,9,11,4,0,1,0,1,6,0,0,0,0,0,0,0,1,8,0,0,0,20,2
LOW,Business,2293,tier iii,Scheduled Private Bank,2,8,160,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,20,2
MEDIUM,Student,-39,tier ii,Scheduled PSU,8,18,199,0,0,0,1,7,0,0,0,0,0,0,0,5,3,0,0,1,20,2
MEDIUM,0,-94,tier iii,Scheduled Private Bank,5,14,280,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,1,20,2
MEDIUM,Public Sector,-33,tier iii,scheduled payments bank,17,30,202,1,0,0,0,3,0,0,0,0,0,0,0,7,10,0,0,0,30,2
MEDIUM,Student,-92,tier ii,Scheduled PSU,3,126,1393,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,20,2
MEDIUM,Student,35,tier iii,Scheduled PSU,40,331,6557,4,8,10,9,9,0,0,0,0,0,0,32,8,0,0,0,1,20,2
MEDIUM,Private Sector Service,-1,tier iii,Scheduled PSU,22,61,29,0,2,0,7,13,0,0,0,0,0,0,0,7,15,0,0,1,20,2
MEDIUM,Agriculturist,0,tier iii,Scheduled PSU,12,19,15,0,0,0,6,6,0,0,0,0,0,0,0,5,7,0,0,1,30,2
MEDIUM,Government Service,-10,tier ii,Scheduled PSU,23,272,4530,0,3,7,7,3,0,0,0,0,0,0,10,10,3,0,0,0,20,2
MEDIUM,Government Service,1,tier ii,Scheduled PSU,113,384,12,18,20,19,12,12,0,0,0,0,0,0,0,1,112,0,0,0,30,3
MEDIUM,Private Sector Service,0,tier ii,Scheduled Private Bank,3,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,20,2
MEDIUM,0,-286,tier ii,Scheduled Private Bank,103,503,9106,15,19,25,5,0,0,0,0,0,0,0,86,13,3,1,0,0,20,2
MEDIUM,Private Sector Service,-13,tier iii,Scheduled Private Bank,37,141,2780,30,6,0,0,0,0,0,0,0,0,0,33,2,2,0,0,1,20,2
MEDIUM,Student,-1,tier iii,Scheduled PSU,4,8,85,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,1,30,2
MEDIUM,Private Sector Service,39,tier ii,Scheduled Private Bank,65,139,240,23,9,0,4,4,0,0,0,0,0,0,0,6,59,0,0,0,20,3
LOW,Business,0,tier iii,Scheduled Private Bank,9,26,4,0,0,0,0,9,0,0,0,0,0,0,0,1,8,0,0,1,30,2
MEDIUM,Private Sector Service,-40,tier iii,Scheduled Private Bank,11,16,41,5,0,0,1,3,0,0,0,0,0,0,0,2,9,0,0,0,20,2
MEDIUM,Private Sector Service,-122,tier i,Scheduled PSU,112,1008,20001,13,26,23,28,2,0,0,0,0,0,0,71,34,7,0,0,0,30,2
LOW,Business,-684,tier ii,Other,14,54,1020,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,1,20,2
MEDIUM,Private Sector Service,-6,tier ii,Scheduled Private Bank,115,841,16193,25,16,27,27,14,0,0,0,0,0,1,96,3,15,0,0,0,30,2
